Datetime,Open,High,Low,Close,Volume
2026-01-05,686.54,689.43,686.375,687.72,71927191
2026-01-06,687.93,692.315,687.78,691.81,69273827
2026-01-07,692.19,693.96,689.32,689.58,75588337
2026-01-08,688.82,690.615,687.49,689.51,64019200
2026-01-09,690.63,695.31,689.18,694.07,80125467
2026-01-12,690.68,696.09,690.63,695.16,63976002
2026-01-13,695.49,696.09,691.35,693.77,78309726
2026-01-14,691.0,691.72,686.04,690.36,94676684
2026-01-15,694.57,695.45,691.25,692.24,77861974
2026-01-16,693.66,694.25,690.1,691.66,79289200
2026-01-20,681.49,684.77,676.57,677.58,107178877
2026-01-21,679.65,688.735,678.13,685.4,127844467
2026-01-22,689.85,691.13,686.92,688.98,77112243
2026-01-23,688.15,690.96,687.16,689.23,63059578
2026-01-26,690.49,694.13,689.92,692.73,60473813
2026-01-27,694.18,696.53,693.57,695.49,54124395
2026-01-28,697.05,697.84,693.94,695.42,61172165
2026-01-29,696.39,697.06,684.83,694.04,97486198
2026-01-30,691.79,694.21,687.12,691.97,101835131
2026-02-02,689.58,696.93,689.42,695.41,77975410
2026-02-03,696.21,696.96,684.03,689.53,105889540
2026-02-04,690.35,691.45,681.76,686.19,105204600
2026-02-05,680.94,683.69,675.79,677.62,113610812
2026-02-06,681.46,692.31,680.85,690.62,89127566
2026-02-09,689.42,695.87,688.34,693.95,73885192
2026-02-10,694.95,696.54,691.66,692.12,65185725
2026-02-11,696.39,697.14,689.18,691.96,76353872
2026-02-12,694.24,695.35,680.37,681.27,118828963
2026-02-13,681.69,686.28,677.52,681.75,96267487
2026-02-17,680.14,684.94,675.78,682.85,81354660
2026-02-18,684.02,689.15,682.83,686.29,73570341
2026-02-19,683.84,686.18,681.5475,684.48,58649363
2026-02-20,682.32,690.06,681.73,689.43,100033986
2026-02-23,687.83,690.0,680.371,682.39,90558087
2026-02-24,681.9,688.35,680.0,687.35,73798727
2026-02-25,690.18,693.68,690.1,693.15,56369479
2026-02-26,693.28,693.3,684.35,689.3,71670990
2026-02-27,683.09,686.86,681.64,685.99,83308868
2026-03-02,678.7,688.62,678.02,686.38,87477198
2026-03-03,675.06,682.61,669.66,680.33,102605669
